央视频道,#genre#
CCTV-4 中文国际 欧洲,http://i.hypo.name:9999/rtp/239.3.1.213:4220$北京联通7
CCTV-4 中文国际 欧洲,http://geewolf.i234.me:8888/rtp/239.3.1.213:4220$北京联通8
CCTV-4 中文国际 欧洲,http://happylive.asuscomm.com:8888/rtp/239.3.1.213:4220$北京联通9
CCTV-4 中文国际 欧洲,http://nas.zangxiaodou.cn:4022/rtp/239.253.93.192:6370$河北联通1
CCTV-4 中文国际 欧洲,http://60.10.225.157:555/rtp/239.253.93.192:6370$河北联通2
CCTV-4 中文国际 欧洲,http://120.11.21.11:4022/rtp/239.253.93.192:6370$河北联通3
CCTV-4 中文国际 欧洲,http://121.29.133.112:8888/rtp/239.253.93.192:6370$河北联通4
CCTV-4 中文国际 美洲,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.214:4220$北京联通1
CCTV-4 中文国际 美洲,http://ikuai.zlsip.top:4022/rtp/239.3.1.214:4220$北京联通2
CCTV-4 中文国际 美洲,http://www.ljun.cc:2888/rtp/239.3.1.214:4220$北京联通3
CCTV-4 中文国际 美洲,http://wg.mxmy.net:8888/rtp/239.3.1.214:4220$北京联通4
CCTV-4 中文国际 美洲,http://yun.jinsome.com:8686/rtp/239.3.1.214:4220$北京联通5
CCTV-4 中文国际 美洲,http://keenny.synology.me:8000/rtp/239.3.1.214:4220$北京联通6
CCTV-4 中文国际 美洲,http://i.hypo.name:9999/rtp/239.3.1.214:4220$北京联通7
CCTV-4 中文国际 美洲,http://geewolf.i234.me:8888/rtp/239.3.1.214:4220$北京联通8
CCTV-4 中文国际 美洲,http://happylive.asuscomm.com:8888/rtp/239.3.1.214:4220$北京联通9
CCTV-4 中文国际 美洲,http://nas.zangxiaodou.cn:4022/rtp/239.253.93.193:6371$河北联通1
CCTV-4 中文国际 美洲,http://60.10.225.157:555/rtp/239.253.93.193:6371$河北联通2
CCTV-4 中文国际 美洲,http://120.11.21.11:4022/rtp/239.253.93.193:6371$河北联通3
CCTV-4 中文国际 美洲,http://121.29.133.112:8888/rtp/239.253.93.193:6371$河北联通4
CCTV-5 体育,http://svenlone126.cn:8888/udp/225.1.1.160:5002$天津联通1
CCTV-5 体育,http://ycnas.zixi.ltd:8888/udp/225.1.1.160:5002$天津联通2
CCTV-5 体育,http://117.10.248.112:5002/udp/225.1.1.160:5002$天津联通3
CCTV-5 体育,http://60.26.60.119:8000/udp/225.1.1.160:5002$天津联通4
CCTV-5 体育,http://221.196.69.170:8888/udp/225.1.1.160:5002$天津联通5
CCTV-5 体育,http://60.26.208.155:50000/udp/225.1.1.160:5002$天津联通6
CCTV-5 体育,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.173:8001$北京联通1
CCTV-5 体育,http://ikuai.zlsip.top:4022/rtp/239.3.1.173:8001$北京联通2
CCTV-5 体育,http://www.ljun.cc:2888/rtp/239.3.1.173:8001$北京联通3
CCTV-5 体育,http://wg.mxmy.net:8888/rtp/239.3.1.173:8001$北京联通4
CCTV-5 体育,http://yun.jinsome.com:8686/rtp/239.3.1.173:8001$北京联通5
CCTV-5 体育,http://keenny.synology.me:8000/rtp/239.3.1.173:8001$北京联通6
CCTV-5 体育,http://i.hypo.name:9999/rtp/239.3.1.173:8001$北京联通7
CCTV-5 体育,http://geewolf.i234.me:8888/rtp/239.3.1.173:8001$北京联通8
CCTV-5 体育,http://happylive.asuscomm.com:8888/rtp/239.3.1.173:8001$北京联通9
CCTV-5+ 体育赛事,http://svenlone126.cn:8888/udp/225.1.1.121:5002$天津联通1
CCTV-5+ 体育赛事,http://ycnas.zixi.ltd:8888/udp/225.1.1.121:5002$天津联通2
CCTV-5+ 体育赛事,http://117.10.248.112:5002/udp/225.1.1.121:5002$天津联通3
CCTV-5+ 体育赛事,http://60.26.60.119:8000/udp/225.1.1.121:5002$天津联通4
CCTV-5+ 体育赛事,http://221.196.69.170:8888/udp/225.1.1.121:5002$天津联通5
CCTV-5+ 体育赛事,http://60.26.208.155:50000/udp/225.1.1.121:5002$天津联通6
CCTV-5+ 体育赛事,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.130:8004$北京联通1
CCTV-5+ 体育赛事,http://ikuai.zlsip.top:4022/rtp/239.3.1.130:8004$北京联通2
CCTV-5+ 体育赛事,http://www.ljun.cc:2888/rtp/239.3.1.130:8004$北京联通3
CCTV-5+ 体育赛事,http://wg.mxmy.net:8888/rtp/239.3.1.130:8004$北京联通4
CCTV-5+ 体育赛事,http://yun.jinsome.com:8686/rtp/239.3.1.130:8004$北京联通5
CCTV-5+ 体育赛事,http://keenny.synology.me:8000/rtp/239.3.1.130:8004$北京联通6
CCTV-5+ 体育赛事,http://i.hypo.name:9999/rtp/239.3.1.130:8004$北京联通7
CCTV-5+ 体育赛事,http://geewolf.i234.me:8888/rtp/239.3.1.130:8004$北京联通8
CCTV-5+ 体育赛事,http://happylive.asuscomm.com:8888/rtp/239.3.1.130:8004$北京联通9
CCTV-6 电影,http://svenlone126.cn:8888/udp/225.1.1.195:5002$天津联通1
CCTV-6 电影,http://ycnas.zixi.ltd:8888/udp/225.1.1.195:5002$天津联通2
CCTV-6 电影,http://117.10.248.112:5002/udp/225.1.1.195:5002$天津联通3
CCTV-6 电影,http://60.26.60.119:8000/udp/225.1.1.195:5002$天津联通4
CCTV-6 电影,http://221.196.69.170:8888/udp/225.1.1.195:5002$天津联通5
CCTV-6 电影,http://60.26.208.155:50000/udp/225.1.1.195:5002$天津联通6
CCTV-6 电影,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.174:8001$北京联通1
CCTV-6 电影,http://ikuai.zlsip.top:4022/rtp/239.3.1.174:8001$北京联通2
CCTV-6 电影,http://www.ljun.cc:2888/rtp/239.3.1.174:8001$北京联通3
CCTV-6 电影,http://wg.mxmy.net:8888/rtp/239.3.1.174:8001$北京联通4
CCTV-6 电影,http://yun.jinsome.com:8686/rtp/239.3.1.174:8001$北京联通5
CCTV-6 电影,http://keenny.synology.me:8000/rtp/239.3.1.174:8001$北京联通6
CCTV-6 电影,http://i.hypo.name:9999/rtp/239.3.1.174:8001$北京联通7
CCTV-6 电影,http://geewolf.i234.me:8888/rtp/239.3.1.174:8001$北京联通8
CCTV-6 电影,http://happylive.asuscomm.com:8888/rtp/239.3.1.174:8001$北京联通9
CCTV-7 国防军事,http://svenlone126.cn:8888/udp/225.1.1.138:5002$天津联通1
CCTV-7 国防军事,http://ycnas.zixi.ltd:8888/udp/225.1.1.138:5002$天津联通2
CCTV-7 国防军事,http://117.10.248.112:5002/udp/225.1.1.138:5002$天津联通3
CCTV-7 国防军事,http://60.26.60.119:8000/udp/225.1.1.138:5002$天津联通4
CCTV-7 国防军事,http://221.196.69.170:8888/udp/225.1.1.138:5002$天津联通5
CCTV-7 国防军事,http://60.26.208.155:50000/udp/225.1.1.138:5002$天津联通6
CCTV-7 国防军事,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.61:8104$北京联通1
CCTV-7 国防军事,http://ikuai.zlsip.top:4022/rtp/239.3.1.61:8104$北京联通2
CCTV-7 国防军事,http://www.ljun.cc:2888/rtp/239.3.1.61:8104$北京联通3
CCTV-7 国防军事,http://wg.mxmy.net:8888/rtp/239.3.1.61:8104$北京联通4
CCTV-7 国防军事,http://yun.jinsome.com:8686/rtp/239.3.1.61:8104$北京联通5
CCTV-7 国防军事,http://keenny.synology.me:8000/rtp/239.3.1.61:8104$北京联通6
CCTV-7 国防军事,http://i.hypo.name:9999/rtp/239.3.1.61:8104$北京联通7
CCTV-7 国防军事,http://geewolf.i234.me:8888/rtp/239.3.1.61:8104$北京联通8
CCTV-7 国防军事,http://happylive.asuscomm.com:8888/rtp/239.3.1.61:8104$北京联通9
CCTV-8 电视剧,http://svenlone126.cn:8888/udp/225.1.1.196:5002$天津联通1
CCTV-8 电视剧,http://ycnas.zixi.ltd:8888/udp/225.1.1.196:5002$天津联通2
CCTV-8 电视剧,http://117.10.248.112:5002/udp/225.1.1.196:5002$天津联通3
CCTV-8 电视剧,http://60.26.60.119:8000/udp/225.1.1.196:5002$天津联通4
CCTV-8 电视剧,http://221.196.69.170:8888/udp/225.1.1.196:5002$天津联通5
CCTV-8 电视剧,http://60.26.208.155:50000/udp/225.1.1.196:5002$天津联通6
CCTV-8 电视剧,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.175:8001$北京联通1
CCTV-8 电视剧,http://ikuai.zlsip.top:4022/rtp/239.3.1.175:8001$北京联通2
CCTV-8 电视剧,http://www.ljun.cc:2888/rtp/239.3.1.175:8001$北京联通3
CCTV-8 电视剧,http://wg.mxmy.net:8888/rtp/239.3.1.175:8001$北京联通4
CCTV-8 电视剧,http://yun.jinsome.com:8686/rtp/239.3.1.175:8001$北京联通5
